osm_id;X;Y;website;addr:country;wheelchair;phone;opening_hours;name;atm;amenity;addr:street;addr:postcode;addr:housenumber;addr:city;branchManager;insuranceContact;achievement;employees;foundingYear
30206375;8.3608395;49.6308038;;;limited;+49 6241 200080;"Mo,Tu,Th 09:30-13:00,14:00-19:00; We,Fr 09:30-13:00,14:00-16:00; PH off";Santander;yes;bank;Stephansgasse;67547;7;Worms;Thomas Weber;Julia Becker;78;15;1976
245947715;10.7842294;51.8336563;https://www.santander.de/;DE;no;;Mo-Th 09:00-13:00, Fr 09:00-14:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00;Santander;yes;bank;Westernstraße;38855;2;Wernigerode;Michael Schmidt;Anna Müller;85;12;1982
247795890;12.1249416;54.0884827;;;limited;;24/7;Santander;;atm;;;;;Stefan Neumann;Sarah Hoffmann;65;6;1997
257782160;8.75506;51.7177907;https://www.santander.de/;DE;yes;;"Mo,Tu,Th 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;yes;bank;Schildern;33098;14;Paderborn;Markus Schulz;Laura König;92;25;1963
263829225;11.6040982;48.1289207;https://www.santander.de/privatkunden/;;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;;bank;Orleansplatz;81667;6;München;Christian Maier;Petra Lange;87;32;1970
265546895;9.7461438;52.3666891;;;;;;Santander;;atm;;;;;Frank Meyer;Nicole Bauer;58;5;2008
271707886;13.2030227;52.5369021;;;yes;;;Santander;yes;bank;;;;;Andreas Klein;Monika Huber;82;28;1967
273433803;11.02766;50.9729319;;DE;no;;"Mo-Fr 09:00-13:00,14:00-19:00; PH off";Santander;yes;bank;Neuwerkstraße;99084;45;Erfurt;Sabine Neumann;Martin Fischer;75;18;1991
280490246;10.5237264;52.2669897;;DE;yes;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;Hagenmarkt;38100;8;Braunschweig;Claudia Wolf;Daniel Schröder;91;26;1973
282474275;11.9786668;51.4795884;https://www.santander.de/de/privatkunden/index.html;DE;yes;;Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00, Fr 09:00-14:00;Santander;yes;bank;Martinstraße;6108;11;Halle (Saale);Peter Wagner;Katrin Schmitz;68;22;1985
282759670;13.4672334;52.5142273;;DE;limited;;"Tu,Th 09:00-13:00,14:00-18:00; Mo,We 09:00-13:00,14:00-16:00; Fr 09:00-14:00";Santander;;bank;Frankfurter Allee;10247;70;Berlin;Max Mustermann;Birgit Krause;94;36;1952
283094161;9.1474632;49.9736174;;;yes;;;Santander;yes;bank;Löherstraße;63739;2;Aschaffenburg;Robert Weber;Stefanie Müller;71;15;1988
283459424;9.0251461;48.2127315;;;no;;;Santander;yes;bank;;;;;Jennifer Schmidt;Tim Weber;64;9;1996
299088724;9.9300419;49.7944844;;;;;;Santander;;bank;;;;;Alexander Wagner;Sandra Braun;38;8;2005
304791561;13.4144894;52.5515043;https://www.santander.de/;DE;no;;Mo-Th 09:00-13:00, Mo,We 14:00-16:00, Tu,Th 14:00-18:00, Fr 09:00-14:00;Santander;yes;bank;Schönhauser Allee;10439;85;Berlin;Julia Weber;Oliver Müller;89;30;1957
305449484;11.5663716;48.1344247;https://www.santander.de/privatkunden/;;limited;;"Mo,We 09:00-13:00,14:00-16:00; Tu,Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00";Santander;yes;bank;Sonnenstraße;80331;33;München;Thorsten Keller;Lisa Schneider;77;42;1968
305455039;7.8424754;47.9968732;https://www.santander.de/;;limited;;"Mo, We 09:00-13:00, 14:00-16:00; Tu, Th 09:00-13:00, 14:00-18:00; Fr 09:00-14:00";Santander;;bank;;;;;Karin Schmidt;Jan Hoffmann;69;14;1987
309194871;7.0939087;51.5109087;https://www.santander.de/;DE;limited;;;Santander;yes;bank;Ebertstraße;45879;20;Gelsenkirchen;Patrick Neumann;Nina Becker;54;17;1992
317217910;10.6986696;53.9190799;;;yes;;;Santander;yes;bank;;;;;Silvia Wolf;Daniela Koch;73;19;1983
320557162;6.4845264;50.8017446;https://www.santander.de/;DE;;;"Mo-Th 09:30-13:00, 14:00-19:00; Fr 09:30-13:00, 14:00-16:00; Sa-Su off; PH off";Santander;yes;bank;Markt;52349;23;Düren;Dennis Fischer;Matthias Hoffmann;86;23;1974
325134154;6.7657346;51.4313521;https://www.santanderbank.de/;DE;limited;;;Santander;yes;bank;Düsseldorfer Straße;47051;29;Duisburg;Ralf Meyer;Susanne Bergmann;93;33;1962
325134273;6.7703635;51.430791;https://www.santander.de/;DE;limited;;;Santander;yes;bank;Friedrich-Wilhelm-Straße;47051;89;Duisburg;Markus Schulz;Petra Lange;67;21;1980
330002048;14.5458395;52.3421287;;;;;Mo-Th 09:00-13:00, Fr 09:00-14:00, Mo,Tu,Th 14:00-18:00, We 14:00-16:00;Santander;yes;bank;;;;;Christian Maier;Monika Huber;45;13;1995
331314622;8.6205398;50.2249178;;;no;;;Santander;yes;bank;;;;;Susanne Wagner;Thomas Müller;52;11;2001
332967732;13.3816626;52.5528208;;DE;;;Mo,Tu,Th 09:00-13:00, Tu,Th 14:00-18:00, Fr 09:00-14:00, We 09:00-13:00,14:00-16:00;Santander;;bank;Prinzenallee;13357;89-90;Berlin;Andreas Klein;Nicole Bauer;79;29;1961
